question,adapter_name
피고인이 2014년 7월 9일 광주 서구에서 피해자 앞에서 자위행위를 한 행위는 어떤 법률 조항에 해당하는가?,korean general law
"피고인은 2021년 3월 20일 당진시에서 혈중알코올농도 0.113% 상태로 화물차를 운전하여 음주운전 금지규정을 2회 이상 위반하였는데, 이에 해당하는 법 조항은 무엇인가요?",korean general law
"피고인은 언제, 어디서, 어떤 차량을 운전했습니까?",korean general law
피고인이 소주병으로 피해자를 폭행한 행위는 어떤 죄에 해당하는가?,korean general law
피고인이 피해자의 신발 판매업무를 방해한 행위는 어떤 법률 조항에 해당하는가?,korean general law
"피고인은 어떤 상황에서 교통사고를 일으켰으며, 피해자는 어떤 상해를 입었는가?",korean general law
피고인이 인터넷 거래 카페에서 아이템을 판매하겠다고 거짓말하여 돈을 송금받은 행위는 어떤 법률 조항에 해당하는가?,korean general law
"피고인이 도로교통법 제44조 제1항을 2회 이상 위반한 후 다시 음주운전을 한 경우, 적용되는 법 조항은 무엇인가요?",korean general law
피고인은 2018년 12월 31일 거제시에서 피해자의 주점에서 어떤 행위로 영업을 방해했나요?,korean general law
피고인은 2014년 12월 23일부터 2015년 6월 13일까지 피해자 소유의 휴대폰을 몇 회에 걸쳐 절취했습니까?,korean general law
피고인이 2013년 9월 21일에 발생한 교통사고와 관련하여 어떤 법적 의무를 위반하였는가?,korean general law
피고인이 2016년 3월 19일 경북 칠곡군에서 자동차운전면허 없이 화물차를 운전한 행위는 어떤 법을 위반한 것인가?,korean general law
피고인이 2020년 11월 12일에 저지른 음주운전 행위는 어떤 법 조항을 위반한 것인가?,korean general law
"피고인이 2013년 5월 하순에 대구 달성군 B아파트 앞 길에서 C로부터 훔쳐 온 갤럭시S3 휴대폰을 25만원에 취득하고, 도난 사실을 알게 되었음에도 계속 보관한 행위는 어떤 법 조항에 해당하는가?",korean general law
피고인이 피해자가 운영하는 주점의 출입문 열쇠를 복사하여 무단으로 침입한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 2014년 1월 23일 군자역 8번 출구 앞에서 술에 취해 택시 운전사인 피해자를 폭행하여 상해를 입혔습니다. 이에 해당하는 법적 조항은 무엇인가요?,korean general law
피고인이 도로교통법을 위반하여 음주운전을 한 사실과 관련된 법적 근거는 무엇인가요?,korean general law
피고인이 경찰관의 정당한 직무집행을 방해하고 피해자에게 상해를 입힌 사건에서 적용된 법 조항은 무엇인가요?,korean general law
