prompt,completion,split
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Which region has the highest percentage of inbound FDI notifications to Korea in service industries?
<|im_start|>Answer
","Asia-Pacific has the highest percentage of inbound FDI notifications to Korea in service industries, with 61.6% of the total.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What percentage of the Korean population is connected via Internet?
<|im_start|>Answer
",Approximately 80%.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What was the main strategy of the Korean government in promoting economic growth during the early stages of development?
<|im_start|>Answer
",The Korean government promoted the import of raw materials and technology at the expense of consumer goods and encouraged savings and investment over consumption.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the Termination of Employment advance notification requirement in Korea?
<|im_start|>Answer
",The Termination of Employment advance notification requirement in Korea is aimed at the dismissal of 10 or more employees in a business place having less than 100 employees.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Why is this development significant for potential exporters to Korea?
<|im_start|>Answer
",This development is of great significance for potential exporters to Korea because Jikgu products have already been directly purchased by Koreans and thus have a high chance of succeeding in the Korean market.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are there any tax incentives for multinational corporations' regional headquarters and administrative offices in Korea?
<|im_start|>Answer
","Yes, cash grants are available in order to attract multinational corporations' regional headquarters and administrative offices in the country.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What were the top three sources of imports for Korea in 2011?
<|im_start|>Answer
","China, Japan, and the EU<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the percentage of inbound FDI into Korea with full ownership from Africa-M. East for the period 2010-2014?
<|im_start|>Answer
",9.3%<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the requirement for insurance premiums to be deductible?
<|im_start|>Answer
",They must have the business enterprise as the listed beneficiary.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the name of the association of Southeast Asian countries that South Korea has a free-trade agreement with?
<|im_start|>Answer
",ASEAN<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How does Korea's economy and trade status make it attractive for businesses?
<|im_start|>Answer
","Korea's high-tech industry, sophisticated consumer market, and outstanding trading partner status make it attractive for businesses to enter or expand their Asian presence.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How effective is technology transfer?
<|im_start|>Answer
",The effectiveness of technology transfer is discussed on page 122.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can a liaison office in Korea include its expenses in a certain guidelines?
<|im_start|>Answer
",A liaison office in Korea may include its expenses in the head office's common expenses according to certain guidelines.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How has the importance of moderate prices and discount stores increased in Korea?
<|im_start|>Answer
",The importance of moderate prices and discount stores has increased in recent years due to the increased price consciousness of Korean consumers.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How is liquidation income taxed for domestic corporations in South Korea?
<|im_start|>Answer
",Liquidation income of domestic corporations in South Korea is subject to corporate income tax at regular tax rates. A final tax return must be filed within three months from the final settlement.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What challenges may Korean firms face during post-M&A integration?
<|im_start|>Answer
",Target Korean firms are likely to have unique cultural features that make post-M&A integration a challenge.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the importance of staying up to date on FTA updates for exporters to Korea?
<|im_start|>Answer
",Staying up to date on FTA updates can help exporters save on export costs.<|im_end|>,train
