question,answer
学校教育法施行令の一部を改正する政令の施行に伴う経過措置に関する省令はいつ施行されますか？,令和五年四月一日から施行されます。
土地改良法に基づく認可地縁団体への組織変更に関する省令の第一条で定められている事項は何ですか？,土地改良施設の管理に関する事項
外務省の所管する法令に係る歳入等の納付を情報通信技術を利用して行う場合、どのような方法で行うかを定めた法律は何ですか？,情報通信技術を利用する方法による国の歳入等の納付に関する法律
福島国際研究教育機構が中期計画の認可を受けるためには、どのような手続きを行う必要がありますか？,中期計画を記載した申請書を、当該中期計画の最初の事業年度開始三十日前までに主務大臣に提出しなければならない。
供給確保計画の認定を受けるために必要な書類は何ですか？,申請者の定款の写し、最近三期間の事業報告の写し、適切な設備投資等を示す書類、暴力団員等でないことを証する書類などが必要です。
原子力規制委員会の職員が立入検査の際に携帯する証明書の様式に関する特例規則はいつ施行されますか？,令和五年四月一日から施行されます。
特別会計に関する法律施行令附則第七条の二の規定により読み替えて適用する同令第五十二条第一項第二号に掲げる事務は、どのように区分され、誰が所管するか？,科学技術の総合的な振興に係る事務は文部科学大臣が所管し、それ以外の事務は経済産業大臣が所管する。
相続等により取得した土地所有権の国庫への帰属に関する法律施行規則は、どのような土地の管理及び処分について農地法施行規則の規定を準用するか？,主に農用地として利用されている土地の管理及び処分について農地法施行規則の規定を準用する。
民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則の趣旨は何ですか？,特定有害廃棄物等の輸出入等の規制に関する法律施行規則に係る保存等を電磁的記録を使用して行う場合について定める。
民間事業者等が障害者の日常生活及び社会生活を総合的に支援するための法律に基づく書面の保存を電磁的記録で行う場合、どのような方法で保存する必要がありますか？,作成された電磁的記録をファイルや磁気ディスク等に保存する方法、またはスキャナで読み取った電磁的記録をファイルや磁気ディスク等に保存する方法が必要です。
情報通信技術を活用した行政の推進等に関する法律施行規則の趣旨は何ですか？,公害等調整委員会関係法令に規定する手続等を情報通信技術を利用する方法により行う場合の規定を定めることです。
令和五年度に特定認定事業者が海上運送法第三十五条第一項の規定による日本船舶・船員確保計画の認定の申請をする場合における日本船舶の隻数の増加の割合は何に基づいて定められますか？,海上運送法第三十五条の規定に基づく日本船舶・船員確保計画の認定等に関する省令に基づいて定められます。
アリモドキゾウムシの緊急防除を行うための省令は何に基づいて定められていますか？,植物防疫法（昭和二十五年法律第百五十一号）第十八条第一項の規定に基づいて定められています。
民間事業者等が自動車損害賠償保障法に係る書面の保存を電磁的記録で行う場合、どのような方法で保存しなければならないか？,スキャナにより読み取った電磁的記録を電子計算機に備えられたファイルや磁気ディスクなどに保存する方法で行わなければならない。
資金決済に関する法律に基づいて、為替取引分析業者に関する命令はどのように定められていますか？,資金決済に関する法律に基づき、為替取引分析業者に関する命令は、総則、業務、監督、雑則の4章に分かれて定められています。
供給確保計画の認定を受けようとする者は、どのような書類を経済産業大臣に提出しなければならないか？,申請者の定款の写し、事業報告の写し、確実に講じられる見込みがあることを証する書類、暴力団員等でないことを証する書類などを提出しなければならない。
特別会計に関する法律施行令第六十五条第一項第一号ハで定める益金にはどのようなものがありますか？,積立金から生ずる収入のうち被害者保護増進等事業に係るもの、独立行政法人自動車事故対策機構法第十五条第二項の規定による納付金、その他自動車事故対策勘定の益金のうち被害者保護増進等事業に係るものです。
特別高度人材の基準を定める省令はいつ施行されますか？,令和五年四月二十一日から施行されます。
デジタル社会の形成を図るための関係法律の整備に関する法律の一部の施行に伴い、郵便局が取り扱うこととされた事務は何ですか？,地方公共団体の特定の事務の郵便局における取扱いに関する法律第二条第六号及び第七号に掲げる事務。
民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則の趣旨は何ですか？,内閣府の所管するこども家庭庁関係法令に係る保存等を電磁的記録を使用して行う場合について定めています。
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく立入検査等の際に職員が携帯する証明書の特例に関する命令はいつ施行されるか？,令和五年四月一日から施行する。
国家戦略特別区域法施行規則において、国家戦略特別区域限定保育士試験の実技試験はどのように行われるか？,実技試験は、筆記試験の全てに合格した者について行われ、保育実習実技について行う。
脱炭素成長型経済構造への円滑な移行の推進に関する法律の施行に伴い、内閣が制定した政令の施行期日はいつですか？,令和五年六月三十日
こども家庭庁の経理室が担当する主な事務は何ですか？,こども家庭庁の所掌に係る経費及び収入の決算及び会計、国有財産の管理及び処分、物品の管理、東日本大震災復興特別会計の経理、庁内の管理、建築物の営繕に関する事務です。
令和五年五月五日に発生した地震による災害で、石川県珠洲市の区域に適用される措置は何ですか？,法第三条、第四条、第十二条並びに第二十四条第一項、第三項及び第四項に規定する措置が適用されます。
資金決済に関する法律に基づいて定められた内閣府令の目次には、どのような章が含まれていますか？,総則、業務、監督、雑則、附則
補助金等に係る予算の執行の適正化に関する法律に基づくこども家庭庁の補助金等交付規則の実績報告の期日はいつまでに行う必要がありますか？,補助事業等が完了した日から起算して一月を経過した日又は法第六条第一項の規定による補助金等の交付の決定をした年度の翌年度の四月十日のいずれか早い期日までに行う必要があります。
法人等による寄附の不当な勧誘の防止等に関する法律第四条第四号の内閣府令で定める方法にはどのようなものがありますか？,電話や電子メールなどの電気通信を用いる方法があります。
情報通信技術を利用する方法による国の歳入等の納付に関する法律施行規則の趣旨は何ですか？,総務省の所管する法令に係る歳入等の納付を、情報通信技術を利用して自ら納付する方法または指定納付受託者に委託して納付する方法により行わせる場合について定めています。
こども家庭庁の職員が立入検査等の際に携帯する証明書の様式に関する特例は、どの法律の規定に基づいているか？,児童福祉法、児童扶養手当法、母子及び父子並びに寡婦福祉法、児童手当法、子ども・子育て支援法、民間あっせん機関による養子縁組のあっせんに係る児童の保護等に関する法律
相続等により取得した土地所有権の国庫への帰属に関する法律施行規則第一条では、承認申請書及び添付書類の提出先についてどのように規定されていますか？,承認申請書及び添付書類の提出は、承認申請に係る土地の所在地を管轄する法務局又は地方法務局の長に対して行わなければならない。ただし、隣接する二筆以上の土地の管轄法務局長が二以上あるときは、そのいずれかに対して提出すれば足りる。
構造改革特別区域法に基づく保育所の給食外部搬入方式の容認事業を実施するための要件は何ですか？,地方公共団体が設定する構造改革特別区域内の保育所について、食事提供の責任、栄養士による指導、調理業務の受託者の適切な能力、乳幼児の年齢や健康状態に応じた食事提供、食育計画に基づく食事提供などの要件を満たすことが必要です。
こども家庭審議会の委員の任期はどのくらいですか？,委員の任期は二年です。
こども政策推進会議の庶務は誰が処理するか？,こども家庭庁長官官房参事官が処理する。
中小事業主が行う事業に従事する者等の労働災害等に係る共済事業に関する法律第七条第二項の規定は、どのような場合に適用されないのですか？,法の施行の際現に同条第一項の標識又はこれに類似する標識を掲示している者については、法の施行の日から起算して六月を経過する日までの間は適用されない。
内閣府の所管するこども家庭庁関係法令に係る情報通信技術を活用した行政の推進等に関する法律施行規則は、どのような目的で定められたのですか？,情報通信技術を活用してこども家庭庁関係の手続きを行うための規則を定めることを目的としています。
令和五年度における高齢者の医療の確保に関する法律第三十四条第二項第二号の政令で定める率は何パーセントですか？,百分の百五十七
中小事業主が行う事業に従事する者等の労働災害等に係る共済事業に関する法律（令和三年法律第八十号）に基づく政令の施行日はいつですか？,令和五年六月一日
内閣が制定した政令に基づき、日本中央競馬会の令和五事業年度における日本中央競馬会法第二十九条の二第三項の割合は何パーセントと定められていますか？,百分の百と定められています。
この法律はいつ施行されるか？,この法律は、条約が日本国について効力を生ずる日から施行される。
この法律はいつ施行されますか？,この法律は、公布の日から起算して三年を超えない範囲内において政令で定める日から施行されます。ただし、特定の規定は公布の日から施行されます。
令和五年三月予備費使用及び令和五年度予算に係る子育て関連給付金とは何ですか？,令和五年三月予備費使用に係る子育て世帯生活支援特別給付金及び令和五年度予算に係る出産・子育て応援給付金を指します。
この法律はいつ施行されますか？,令和六年四月一日から施行されます。ただし、附則第四条の規定は、公布の日から施行されます。
この法律の目的は何ですか？,性的指向及びジェンダーアイデンティティの多様性に関する国民の理解の増進に関する施策の推進に関し、基本理念を定め、並びに国及び地方公共団体の役割等を明らかにすることです。
この法律の第一章の趣旨は何ですか？,令和五年度以降における我が国の防衛力の抜本的な強化及び抜本的に強化された防衛力の安定的な維持に必要な財源を確保するための特別措置を定めることです。
中小事業主が行う事業に従事する者等の労働災害等に係る共済事業に関する法律施行規則の目次の構成はどのようになっていますか？,目次は、第一章 総則、第二章 共済事業等、第三章 解散等、第四章 共済募集、第五章 雑則、附則で構成されています。
ゲノム医療法の目的は何ですか？,ゲノム医療法の目的は、良質かつ適切なゲノム医療を国民が安心して受けられるようにするための施策を定め、ゲノム医療施策を総合的かつ計画的に推進することです。
令和三年法律第六十一号に基づき制定された人事院規則の目的は何ですか？,定年退職者等の暫定再任用に関する必要な事項を定めることです。
こども家庭庁の長官官房が所掌する事務にはどのようなものがありますか？,こども家庭庁の長官官房は、機密に関すること、職員の任免・給与・懲戒などの人事、公文書類の管理、情報公開、個人情報保護、総合調整、国会との連絡、広報、予算・決算・会計、国有財産の管理、職員の福利厚生、情報システムの管理、政策の評価などを所掌します。
