prompt,completion,split
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the application fee for one trademark in multiple classes in Japan?
<|im_start|>Answer
","The application fee for one trademark in multiple classes in Japan is 12,000 yen for the first class and an extra 8,600 yen for each additional class.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the corporate tax rate for taxable income over 8 million yen?
<|im_start|>Answer
",The corporate tax rate for taxable income over 8 million yen is 23.40%.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the main relative matters listed in the articles of incorporation for Kabushiki-Kaisha?
<|im_start|>Answer
","The main relative matters for Kabushiki-Kaisha include names of persons contributing in kind, assets to be contributed, value of the assets, and number and type of shares assigned therefore; assets to be taken over after the coming into existence of the corporation, value thereof, and name of transferor; incorporation expenses incurred by the corporation; appointment of auditor(s); establishment of board of directors; rules on payment of dividends of surplus.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are branches and sales offices of overseas companies treated as incorporated businesses or sole proprietorships?
<|im_start|>Answer
",Branches and sales offices of overseas companies are treated as incorporated businesses.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the two formats for corporate tax return forms in Japan?
<|im_start|>Answer
",The two formats for corporate tax return forms in Japan are white form and blue form.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the method for ensuring that double taxation does not occur at the production and distribution stages in Japan?
<|im_start|>Answer
",A scheme has been adopted in Japan allowing the deduction of consumption tax on purchasing from consumption tax on sales to ensure that double taxation does not occur at the production and distribution stages.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the final step in establishing a joint-stock corporation?
<|im_start|>Answer
",Opening a bank account under the company name.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the premium rate for Employment Insurance in Japan?
<|im_start|>Answer
",The insurance premium rate was 1.10% (the employer paying 0.7% and the worker paying 0.4%) with the exception of a few kinds of job (revised on April 2016).<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the difference in the number of required directors for small and medium companies and large companies in Japan?
<|im_start|>Answer
","For small and medium companies, there is no requirement for the number of directors, but for large companies, 3 or more directors are required.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of the notification of stock acquisition to the Bank of Japan?
<|im_start|>Answer
",The notification of stock acquisition to the Bank of Japan is to inform the Bank of Japan of the ownership of the company's stock. This may be required in certain sectors.<|im_end|>,train
