Question,Answer
What are the key laws and regulations for setting up a business in Japan?,"The laws and regulations for setting up a business in Japan include company formation, employment, taxation, and trade regulations."
What are the main types of visas available for foreigners looking to do business in Japan?,"The main types of visas available for foreigners looking to do business in Japan include the Business Manager visa, Investor/Entrepreneur visa, and the Technical Intern Training visa."
What is the process for registering a new business in Japan?,"The process for registering a new business in Japan involves applying for a tax number, registering the company with the Legal Affairs Bureau, and obtaining any necessary licenses or permits."
What are the main tax obligations for businesses in Japan?,"Businesses in Japan are subject to corporate tax, income tax, consumption tax, and other local taxes."
What are the key human resource (HR) regulations that businesses need to follow in Japan?,"HR regulations in Japan include labor laws, employment contracts, social insurance, and labor standards."
How can a foreign company trade with Japan?,"A foreign company can trade with Japan by establishing a subsidiary or branch office, appointing a local agent, or participating in trade shows and exhibitions."
What are the main intellectual property rights laws in Japan?,"The main intellectual property rights laws in Japan include patents, trademarks, copyrights, and industrial designs."
What are the main environmental regulations that businesses need to follow in Japan?,"Environmental regulations in Japan include the Environmental Basic Act, the Law for the Promotion of Measures to Combat Climate Change, and the Law for the Conservation of Living Marine Resources."
What are the main health and safety regulations that businesses need to follow in Japan?,"Health and safety regulations in Japan include the Labor Safety and Hygiene Law, the Industrial Safety and Health Law, and the Worker Dispatch Law."
What are the main consumer protection laws in Japan?,"Consumer protection laws in Japan include the Consumer Contract Act, the Unfair Competition Prevention Act, and the Act on Specified Commercial Transactions."
"What is the main purpose of the ""Laws & Regulations on Setting Up Business in Japan"" booklet?","The main purpose of the ""Laws & Regulations on Setting Up Business in Japan"" booklet is to provide information on laws, regulations, and procedures related to setting up a business in Japan for foreign companies."
Who is the target audience for this booklet?,The target audience for this booklet is foreign businesses planning to establish operations in Japan.
"When was the ""Laws & Regulations on Setting Up Business in Japan"" booklet first published?","The ""Laws & Regulations on Setting Up Business in Japan"" booklet was first published in October 2004."
How often is the booklet revised to incorporate changes in the areas covered?,The booklet is revised as needed to incorporate changes in the areas covered since its first publication.
What is the current edition of the booklet?,The current edition of the booklet is the 11th edition.
What kind of information does the booklet provide?,"The booklet provides information on laws, regulations, and procedures related to registration of incorporation, visas, taxes, human resource management, and trademark and design protection systems."
How does JETRO hope the booklet will be used?,JETRO hopes that the booklet will serve as an excellent resource for companies planning to establish operations in Japan and make doing business in Japan easier.
Does JETRO provide any other resources for investors?,"Yes, JETRO also provides updates on amendments and other changes to investment-related systems and institutions through its website, http://www.investjapan.org."
What is the name of the department within JETRO responsible for this booklet?,The department within JETRO responsible for this booklet is the Invest Japan Department.
What is the process for registering a company in Japan?,"The process for registering a company in Japan includes obtaining the necessary documents, such as the articles of incorporation and a certificate on registered company information and company seal impression certificate, and then submitting these documents to the legal affairs bureau or notary public. After registration, notifications are required to be made to the relevant government agencies."
What is the minimum number of directors required for small and medium Kabushiki-Kaisha?,1 or more directors are required for small and medium Kabushiki-Kaisha.
Is there a requirement for a representative director in small and medium Kabushiki-Kaisha?,Appointment of 1 or more representative directors with the right to execute business is required for small and medium Kabushiki-Kaisha.
What is the maximum term for directors in small and medium Kabushiki-Kaisha?,The term for directors in small and medium Kabushiki-Kaisha can be extended up to 10 years.
Is the establishment of a board of directors mandatory for small and medium Kabushiki-Kaisha?,Establishment of a board of directors is optional for small and medium Kabushiki-Kaisha.
What is the minimum number of directors required for large Kabushiki-Kaisha?,Appointment of 3 or more directors is required for large Kabushiki-Kaisha.
Is there a requirement for a representative director in large Kabushiki-Kaisha?,Appointment of 3 or more representative directors with the right to execute business is required for large Kabushiki-Kaisha.
What is the maximum term for directors in large Kabushiki-Kaisha?,The term for directors in large Kabushiki-Kaisha can be extended up to 10 years.
Is the establishment of a board of directors mandatory for large Kabushiki-Kaisha?,Establishment of a board of directors is required if a board of auditors is established for large Kabushiki-Kaisha.
What is the minimum number of auditors required for large Kabushiki-Kaisha?,Appointment of 1 or more auditors is required for large Kabushiki-Kaisha.
What is the maximum term for auditors in large Kabushiki-Kaisha?,The term for auditors in large Kabushiki-Kaisha can be extended up to 10 years.
What is the difference in the number of required directors for small and medium companies and large companies in Japan?,"For small and medium companies, there is no requirement for the number of directors, but for large companies, 3 or more directors are required."
What is the term length for directors in small and medium companies in Japan?,The term length for directors in small and medium companies in Japan is 1 year.
Is the establishment of a board of directors required for small and medium companies in Japan?,"Yes, the establishment of a board of directors is required for small and medium companies in Japan, with at least 3 or more directors."
Is the appointment of a representative director possible for small and medium companies in Japan?,"No, the appointment of a representative director is not possible for small and medium companies in Japan."
What is the term length for executive officers in small and medium companies in Japan?,The term length for executive officers in small and medium companies in Japan is 1 year.
Is the appointment of auditors required for small and medium companies in Japan?,"No, the appointment of auditors is not required for small and medium companies in Japan."
Is the establishment of a board of auditors required for small and medium companies in Japan?,"No, the establishment of a board of auditors is not required for small and medium companies in Japan."
Is the appointment of an accounting auditor required for small and medium companies in Japan?,"No, the appointment of an accounting auditor is not required for small and medium companies in Japan."
Is the establishment of an auditing committee required for small and medium companies in Japan?,"No, the establishment of an auditing committee is not required for small and medium companies in Japan."
Are there any requirements for the appointment of outside directors in small and medium companies in Japan?,"Yes, the requirements for outside directors have been altered by the enforcement of revisions to the Companies Act, but specific details are not provided in the table."
What is the minimum number of directors required for a large joint-stock corporation with capital of 20 billion yen or more?,A large joint-stock corporation with capital of 20 billion yen or more is required to appoint 3 or more directors.
How is a subsidiary company established in Japan?,A subsidiary company is established in Japan through registration with the Legal Affairs Bureau.
What is the date of establishment for a subsidiary company?,The application date for registration with the Legal Affairs Bureau is also the date of establishment for the subsidiary company.
When can a subsidiary company start conducting business operations?,"A subsidiary company may commence business operations from the date of establishment, which is the application date for registration with the Legal Affairs Bureau."
What documents are needed for the subsidiary establishment procedures?,"Some of the documents needed for the subsidiary establishment procedures should be prepared in the home country of the foreign company, such as documents certifying the profile of the foreign company, documents certifying the representative authority of the foreign company's representative, documents certifying the authenticity of the signature of the foreign company's representative, and certificates of signature for the person(s) to be appointed as director(s), etc. (if any) of the subsidiary company."
What official documents of the foreign company are typically used for subsidiary establishment procedures in Japan?,"The foreign company's articles of incorporation, establishment certificate, registration certificate, and other official documents, as well as an affidavit and a certificate of signature notarized by a notary public in the home country of the foreign company, are ordinarily used for subsidiary establishment procedures in Japan."
What is the purpose of the documents certifying the subsidiary company's articles of incorporation in Japan?,The documents certifying the subsidiary company's articles of incorporation in Japan are required to complete the procedures for certifying the subsidiary company's articles of incorporation.
What document may be needed when requesting a financial institution in Japan to take custody of the subsidiary's capital?,Document(s) certifying that the foreign company has decided to establish a subsidiary company may also be needed when requesting a financial institution in Japan to take custody of the subsidiary's capital.
What is a capital custody certificate?,A capital custody certificate is a certificate issued by a financial institution when the full amount of the subsidiary's capital has been remitted to a special account specified by the financial institution asked to take custody.
What documents are typically required for applying for registration of company establishment in Japan?,The certified articles of incorporation and the capital custody certificate may both be needed when applying for registration of company establishment in Japan.
Are there any additional documents required for subsidiary establishment procedures in Japan?,"Document(s) actually required will be determined individually for each company, and additional documents may be required depending on the specific circumstances."
What is the first step in establishing a Kabushiki-Kaisha (joint-stock corporation)?,The first step is determining the profile of the joint-stock corporation to be established.
What is the purpose of examining identical corporate names at the Legal Affairs Bureau?,To ensure that the proposed name for the joint-stock corporation is unique and not already in use by another company.
Who must attest the affidavits regarding the profile of the parent company and signatures of its representatives?,A public notary in equity participants' own countries.
What is the process for notarizing the joint-stock corporation's articles of incorporation?,The articles of incorporation must be notarized by a Japanese notary public.
Is a bank capital custody certificate required for all joint-stock corporations?,"No, it is only required in cases of incorporation with outside offering."
What is the purpose of remitting the joint-stock corporation capital to an account of the incorporator or representative director?,To ensure that the full amount of capital has been paid in accordance with the articles of incorporation.
Who is responsible for examining the legality of establishment procedures?,The directors and auditors of the joint-stock corporation.
How long does it typically take to establish a joint-stock corporation after determining its profile?,About two months.
What is the purpose of registering the company seal at the Legal Affairs Bureau?,To officially record the company seal and ensure its legality.
What is the final step in establishing a joint-stock corporation?,Opening a bank account under the company name.
What is the first step in establishing a Godo-Kaisha in Japan?,The first step in establishing a Godo-Kaisha in Japan is to determine the profile of the Godo-Kaisha to be established.
What is the purpose of examining identical corporate names at the Legal Affairs Bureau?,Examining identical corporate names at the Legal Affairs Bureau is to ensure that the proposed name for the Godo-Kaisha is unique and not already in use by another company.
What documents are required for certification regarding equity participants in Japan?,"For certification regarding equity participants in Japan, registration certificates for companies that will become equity participants and seal certificates for individuals/companies that will become equity participants are required."
What is the purpose of the Godo-Kaisha's articles of incorporation?,"The Godo-Kaisha's articles of incorporation contain information about the company, such as the trade name, location of the head office, business objectives, business year, amount of capital, names of members (equity participants) and values of their subscriptions, names of representative members, and names of executive officers."
How long does it typically take to establish a Godo-Kaisha in Japan?,It typically takes about one month to establish a Godo-Kaisha in Japan after determining the profile of the company to be established.
What is the purpose of the payment by members of the investment stipulated in the articles of incorporation?,The payment by members of the investment stipulated in the articles of incorporation is to ensure that the required capital for the company has been raised.
What is the purpose of the application at the Legal Affairs Bureau for registration of establishment of a Godo-Kaisha?,The application at the Legal Affairs Bureau for registration of establishment of a Godo-Kaisha is to officially register the company with the government and obtain its legal status.
What documents are required to open a bank account under the company name?,The certificate of registered information and the company seal impression certificate are required to open a bank account under the company name.
What is the purpose of the notification of stock acquisition to the Bank of Japan?,The notification of stock acquisition to the Bank of Japan is to inform the Bank of Japan of the ownership of the company's stock. This may be required in certain sectors.
What is the role of a public notary in the certification process for equity participants?,A public notary in equity participants' own countries must attest the affidavits regarding profiles of companies that will become equity participants and affidavits regarding signatures of representatives of companies that will become equity participants.
What are the absolute matters that must be stated in the articles of incorporation for Kabushiki-Kaisha (joint-stock corporations) to be valid?,"The absolute matters for Kabushiki-Kaisha are purpose, trade name, place of principal office, value or minimum amount of assets contributed at time of incorporation, and name and address of each promoter."
